Date,CYR,Season,Month,Time,Site,Longitude,Latitude,area_sampled,total_count,total_ave_sg,diet_shrimp,diet_crab,diet_items,diet_presence
3/10/2013,2013,DRY,3,0.546527778,39,-80.33772,25.466,3,0,18.6,0,0,0,no food
3/10/2013,2013,DRY,3,0.520138889,40,-80.33714,25.45858,3,0,6.4,1,1,2,food
3/10/2013,2013,DRY,3,0.5,41,-80.33632,25.45553,3,0,33.6,2,1,3,food
3/10/2013,2013,DRY,3,0.479861111,42,-80.3307,25.45031,3,0,0,2,1,3,food
3/10/2013,2013,DRY,3,0.456944444,43,-80.33099,25.44456,3,0,1.2,0,1,1,food
3/10/2013,2013,DRY,3,0.438888889,44,-80.33051,25.44304,3,0,37.04,2,1,3,food
3/10/2013,2013,DRY,3,0.414583333,45,-80.32432,25.4377,3,0,0,0,0,0,no food
3/10/2013,2013,DRY,3,0.396527778,46,-80.32174,25.43744,3,0,11,0,0,0,no food
3/10/2013,2013,DRY,3,0.36875,47,-80.31933,25.43711,3,0,0,0,0,0,no food
3/11/2013,2013,DRY,3,0.399305556,26,-80.33373,25.50586,3,0,5.1,0,1,1,food
3/11/2013,2013,DRY,3,0.416666667,27,-80.33263,25.50409,3,0,27.2,1,0,1,food
3/11/2013,2013,DRY,3,0.431944444,28,-80.33668,25.50502,3,0,23.5,0,0,0,no food
3/11/2013,2013,DRY,3,0.463194444,29,-80.33784,25.50458,3,0,28,1,1,2,food
3/11/2013,2013,DRY,3,0.482638889,30,-80.33949,25.49747,3,4,33,0,0,0,no food
3/11/2013,2013,DRY,3,0.501388889,31,-80.33865,25.49323,3,0,7,0,0,0,no food
3/11/2013,2013,DRY,3,0.535416667,32,-80.34021,25.49037,3,0,26,0,0,0,no food
3/11/2013,2013,DRY,3,0.555555556,33,-80.34001,25.48691,3,0,43,1,0,1,food
3/11/2013,2013,DRY,3,0.570138889,34,-80.33972,25.48528,3,0,14.1,1,1,2,food
3/11/2013,2013,DRY,3,0.588888889,35,-80.34035,25.48025,3,0,7,0,0,0,no food
3/12/2013,2013,DRY,3,0.411111111,15,-80.31237,25.54501,3,0,45.6,0,0,0,no food
3/12/2013,2013,DRY,3,0.4375,16,-80.31284,25.54039,3,0,26.1,3,0,3,food
3/12/2013,2013,DRY,3,0.455555556,17,-80.31336,25.53747,3,0,21.9,1,1,2,food
3/12/2013,2013,DRY,3,0.482638889,18,-80.32869,25.53224,3,0,45.5,0,1,1,food
3/12/2013,2013,DRY,3,0.503472222,19,-80.33117,25.52558,3,0,36.5,0,0,0,no food
3/12/2013,2013,DRY,3,0.527777778,20,-80.33102,25.51838,3,0,26.5,0,0,0,no food
3/12/2013,2013,DRY,3,0.557638889,21,-80.33384,25.51649,3,0,34,0,0,0,no food
3/12/2013,2013,DRY,3,0.575694444,22,-80.33414,25.51541,3,0,34,0,2,2,food
3/12/2013,2013,DRY,3,0.594444444,23,-80.33481,25.51443,3,0,21.4,0,0,0,no food
3/12/2013,2013,DRY,3,0.613194444,24,-80.33522,25.51198,3,0,34.5,0,1,1,food
3/12/2013,2013,DRY,3,0.635416667,25,-80.33568,25.50942,3,0,25.1,1,0,1,food
3/13/2013,2013,DRY,3,0.507638889,10,-80.30264,25.56928,3,2,25.1,1,1,2,food
3/13/2013,2013,DRY,3,0.529861111,11,-80.30338,25.5685,3,0,36,0,1,1,food
3/13/2013,2013,DRY,3,0.572916667,12,-80.30755,25.56171,3,0,39,2,0,2,food
3/13/2013,2013,DRY,3,0.593055556,13,-80.30757,25.55809,3,0,56.1,0,0,0,no food
3/13/2013,2013,DRY,3,0.631944444,14,-80.31012,25.55193,3,0,25,2,1,3,food
3/13/2013,2013,DRY,3,0.422222222,7,-80.3078,25.59441,3,0,49.5,4,0,4,food
3/13/2013,2013,DRY,3,0.46875,8,-80.30502,25.5795,3,0,6.5,1,0,1,food
3/13/2013,2013,DRY,3,0.486111111,9,-80.30349,25.57382,3,0,11,0,1,1,food
3/14/2013,2013,DRY,3,0.548611111,1,-80.28873,25.62922,3,0,42.1,2,0,2,food
3/14/2013,2013,DRY,3,0.517361111,2,-80.29926,25.62385,3,0,38.2,1,0,1,food
3/14/2013,2013,DRY,3,0.493055556,3,-80.30151,25.61747,3,0,59,1,1,2,food
3/14/2013,2013,DRY,3,0.479166667,4,-80.30295,25.6159,3,0,37.5,0,1,1,food
3/14/2013,2013,DRY,3,0.454166667,5,-80.30617,25.61374,3,0,40.1,1,1,2,food
3/14/2013,2013,DRY,3,0.4125,6,-80.30727,25.6093,3,0,45,1,0,1,food
9/3/2013,2013,WET,9,0.386111111,39,-80.33763,25.46571,3,0,8,0,0,0,no food
9/3/2013,2013,WET,9,0.415972222,40,-80.33718,25.45857,3,1,55.7,2,0,2,food
9/3/2013,2013,WET,9,0.435416667,41,-80.33626,25.45552,3,0,33.8,0,0,0,no food
9/3/2013,2013,WET,9,0.45625,42,-80.33064,25.45065,3,0,3.7,0,0,0,no food
9/3/2013,2013,WET,9,0.474305556,43,-80.33095,25.44492,3,1,40.7,4,0,4,food
9/3/2013,2013,WET,9,0.498611111,44,-80.33025,25.44303,3,2,34.9,4,0,4,food
9/3/2013,2013,WET,9,0.518055556,45,-80.32407,25.43772,3,1,38.1,1,0,1,food
9/3/2013,2013,WET,9,0.536805556,46,-80.32159,25.43752,3,0,42.1,0,0,0,no food
9/3/2013,2013,WET,9,0.559722222,47,-80.31931,25.43713,3,1,60.5,0,0,0,no food
9/4/2013,2013,WET,9,0.592361111,27,-80.33264,25.50401,3,0,33.8,1,0,1,food
9/4/2013,2013,WET,9,0.563194444,30,-80.33932,25.49725,3,0,31.1,0,0,0,no food
9/4/2013,2013,WET,9,0.538888889,31,-80.33858,25.49322,3,0,33,0,0,0,no food
9/4/2013,2013,WET,9,0.517361111,32,-80.34003,25.49014,3,0,27,0,0,0,no food
9/4/2013,2013,WET,9,0.495833333,33,-80.33999,25.4867,3,0,47,0,0,0,no food
9/4/2013,2013,WET,9,0.477083333,34,-80.33968,25.48525,3,0,38.6,0,0,0,no food
9/4/2013,2013,WET,9,0.460416667,35,-80.34032,25.48014,3,0,18.2,0,0,0,no food
9/4/2013,2013,WET,9,0.379166667,38,-80.3401,25.46923,3,0,40.5,0,0,0,no food
