"use_for_analysis","CYR_Keyfield","JDay","Date","DoY","CYR","WYR","Season","Month","Day","Time","Segment","Site","Latitude","Longitude","area_sampled","cat","class","common_name","species","occur","total_count","den","median_count","temp","DO","DO_percent","sal_venice_cat","sal","pH","H2S","water_depth","sed_depth","ave_sav","total_ave_sg","total_ave_ma","prop_sg","prop_ma","ave_tt","ave_hw","ave_sf","ave_rm","SAV_ave_sed_depth","ave_max_canopy_height","bottom_canopy","diet_shrimp","diet_crab","fSeason","fSite","fCYR","Date2","diet_items","fDiet_presence"
"Standard","C-2013-3-10-39",2961,2013-03-10,69,2013,2013,"DRY",3,10,0.546527777777778,"Seg2",39,25.466,-80.33772,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,20.8,8.27,105.6,"polyhaline",23.03,8.25,NA,103,67,41,18.6,25.43,0.453658536585366,0.620243902439024,9.3,9.3,0,0,72.5,13.5,1972.9,0,0,"DRY","39","2013",2013-03-10,0,"no food"
"Standard","C-2013-3-10-40",2961,2013-03-10,69,2013,2013,"DRY",3,10,0.520138888888889,"Seg2",40,25.45858,-80.33714,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,20.7,8.31,110.1,"euhaline",31.3,8.21,NA,101,54,77.5,6.4,11.7,0.0825806451612903,0.150967741935484,3.2,3.2,0,0,73.5,14.8,690.6,1,1,"DRY","40","2013",2013-03-10,2,"food"
"Standard","C-2013-3-10-41",2961,2013-03-10,69,2013,2013,"DRY",3,10,0.5,"Seg2",41,25.45553,-80.33632,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,20.5,8.04,107.6,"euhaline",31.71,8.29,NA,89,63,78,33.6,46.2,0.430769230769231,0.592307692307692,16.8,16.8,0,0,75,13.5,1719.9,2,1,"DRY","41","2013",2013-03-10,3,"food"
"Standard","C-2013-3-10-42",2961,2013-03-10,69,2013,2013,"DRY",3,10,0.479861111111111,"Seg2",42,25.45031,-80.3307,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,20.2,7.77,104.2,"euhaline",32.71,8.3,NA,101,93,75.5,0,64.82,0,0.858543046357616,0,0,0,0,71.5,13,1016.2,2,1,"DRY","42","2013",2013-03-10,3,"food"
"Standard","C-2013-3-10-43",2961,2013-03-10,69,2013,2013,"DRY",3,10,0.456944444444444,"Seg2",43,25.44456,-80.33099,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,19.6,7.43,98.2,"euhaline",32.02,8.23,NA,90,47,85,1.2,69.33,0.0141176470588235,0.815647058823529,0.6,0.6,0,0,63.1,13.7,1808.3,0,1,"DRY","43","2013",2013-03-10,1,"food"
"Standard","C-2013-3-10-44",2961,2013-03-10,69,2013,2013,"DRY",3,10,0.438888888888889,"Seg2",44,25.44304,-80.33051,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,19.6,7.54,99.5,"euhaline",31.97,8.26,NA,81,111,64,37.04,31.4,0.57875,0.490625,18.52,18.52,0,0,71.5,21.8,339,2,1,"DRY","44","2013",2013-03-10,3,"food"
"Standard","C-2013-3-10-45",2961,2013-03-10,69,2013,2013,"DRY",3,10,0.414583333333333,"Seg2",45,25.4377,-80.32432,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,19.5,7.37,97.1,"euhaline",32.36,8.25,NA,75,127,82.5,0,52.42,0,0.635393939393939,0,0,0,0,54,12.1,253.9,0,0,"DRY","45","2013",2013-03-10,0,"no food"
"Standard","C-2013-3-10-46",2961,2013-03-10,69,2013,2013,"DRY",3,10,0.396527777777778,"Seg2",46,25.43744,-80.32174,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,19.3,7.33,96.4,"euhaline",32.39,8.22,NA,83,4,35,11,16.6,0.314285714285714,0.474285714285714,5.5,5.5,0,0,9,10.4,209.8,0,0,"DRY","46","2013",2013-03-10,0,"no food"
"Standard","C-2013-3-10-47",2961,2013-03-10,69,2013,2013,"DRY",3,10,0.36875,"Seg2",47,25.43711,-80.31933,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,19.2,6.75,88.5,"euhaline",32.61,8.16,NA,123,68,77.5,0,8.8,0,0.113548387096774,0,0,0,0,55,15.2,98.74,0,0,"DRY","47","2013",2013-03-10,0,"no food"
"Standard","C-2013-3-11-26",2962,2013-03-11,70,2013,2013,"DRY",3,11,0.399305555555556,"Seg2",26,25.50586,-80.33373,3,"Vert","Fish","Gulf Toadfish","Opsanus beta",0,0,0,0,20.5,6.3,82,"polyhaline",26.62,8.12,NA,72,73,63.5,5.1,50.7,0.0803149606299213,0.798425196850394,0,5.1,0,0,37.5,14,168.9,0,1,"DRY","26","2013",2013-03-11,1,"food"
