Date,DoY,CYR,WYR,Season,Month,Day,Site,area_sampled,common_name,species,occur,total_count,temp,sal,water_depth
3/10/2013,69,2013,2013,DRY,3,10,39,3,Gulf Toadfish,Opsanus beta,0,0,20.8,23.03,103
3/10/2013,69,2013,2013,DRY,3,10,40,3,Gulf Toadfish,Opsanus beta,0,0,20.7,31.3,101
3/10/2013,69,2013,2013,DRY,3,10,41,3,Gulf Toadfish,Opsanus beta,0,0,20.5,31.71,89
3/10/2013,69,2013,2013,DRY,3,10,42,3,Gulf Toadfish,Opsanus beta,0,0,20.2,32.71,101
3/10/2013,69,2013,2013,DRY,3,10,43,3,Gulf Toadfish,Opsanus beta,0,0,19.6,32.02,90
3/10/2013,69,2013,2013,DRY,3,10,44,3,Gulf Toadfish,Opsanus beta,0,0,19.6,31.97,81
3/10/2013,69,2013,2013,DRY,3,10,45,3,Gulf Toadfish,Opsanus beta,0,0,19.5,32.36,75
3/10/2013,69,2013,2013,DRY,3,10,46,3,Gulf Toadfish,Opsanus beta,0,0,19.3,32.39,83
3/10/2013,69,2013,2013,DRY,3,10,47,3,Gulf Toadfish,Opsanus beta,0,0,19.2,32.61,123
3/11/2013,70,2013,2013,DRY,3,11,26,3,Gulf Toadfish,Opsanus beta,0,0,20.5,26.62,72
3/11/2013,70,2013,2013,DRY,3,11,27,3,Gulf Toadfish,Opsanus beta,0,0,20.8,26.76,100
3/11/2013,70,2013,2013,DRY,3,11,28,3,Gulf Toadfish,Opsanus beta,0,0,20.8,26.74,118
3/11/2013,70,2013,2013,DRY,3,11,29,3,Gulf Toadfish,Opsanus beta,0,0,20.9,26.85,118
3/11/2013,70,2013,2013,DRY,3,11,30,3,Gulf Toadfish,Opsanus beta,1,4,21.2,27.34,115
3/11/2013,70,2013,2013,DRY,3,11,31,3,Gulf Toadfish,Opsanus beta,0,0,21.4,27.97,98
3/11/2013,70,2013,2013,DRY,3,11,32,3,Gulf Toadfish,Opsanus beta,0,0,21.6,27.33,102
3/11/2013,70,2013,2013,DRY,3,11,33,3,Gulf Toadfish,Opsanus beta,0,0,21.4,26.17,68
3/11/2013,70,2013,2013,DRY,3,11,34,3,Gulf Toadfish,Opsanus beta,0,0,21.6,26,96
3/11/2013,70,2013,2013,DRY,3,11,35,3,Gulf Toadfish,Opsanus beta,0,0,21.6,23.54,73
3/12/2013,71,2013,2013,DRY,3,12,15,3,Gulf Toadfish,Opsanus beta,0,0,21.8,27.71,70
3/12/2013,71,2013,2013,DRY,3,12,16,3,Gulf Toadfish,Opsanus beta,0,0,22.1,27.67,65
3/12/2013,71,2013,2013,DRY,3,12,17,3,Gulf Toadfish,Opsanus beta,0,0,22.1,27.68,110
3/12/2013,71,2013,2013,DRY,3,12,18,3,Gulf Toadfish,Opsanus beta,0,0,22.2,28.3,93
3/12/2013,71,2013,2013,DRY,3,12,19,3,Gulf Toadfish,Opsanus beta,0,0,22.4,27.44,103
3/12/2013,71,2013,2013,DRY,3,12,20,3,Gulf Toadfish,Opsanus beta,0,0,22.5,26.86,65
3/12/2013,71,2013,2013,DRY,3,12,21,3,Gulf Toadfish,Opsanus beta,0,0,22.8,26.7,68
3/12/2013,71,2013,2013,DRY,3,12,22,3,Gulf Toadfish,Opsanus beta,0,0,22.9,26.66,68
3/12/2013,71,2013,2013,DRY,3,12,23,3,Gulf Toadfish,Opsanus beta,0,0,22.8,26.63,62
3/12/2013,71,2013,2013,DRY,3,12,24,3,Gulf Toadfish,Opsanus beta,0,0,23.2,26.47,73
3/12/2013,71,2013,2013,DRY,3,12,25,3,Gulf Toadfish,Opsanus beta,0,0,23,26.61,65
3/13/2013,72,2013,2013,DRY,3,13,10,3,Gulf Toadfish,Opsanus beta,1,2,22.1,31.83,98
3/13/2013,72,2013,2013,DRY,3,13,11,3,Gulf Toadfish,Opsanus beta,0,0,22.5,31.8,75
3/13/2013,72,2013,2013,DRY,3,13,12,3,Gulf Toadfish,Opsanus beta,0,0,22.7,31.37,87
3/13/2013,72,2013,2013,DRY,3,13,13,3,Gulf Toadfish,Opsanus beta,0,0,22.9,31.62,74
3/13/2013,72,2013,2013,DRY,3,13,14,3,Gulf Toadfish,Opsanus beta,0,0,23.1,29.4,67
3/13/2013,72,2013,2013,DRY,3,13,7,3,Gulf Toadfish,Opsanus beta,0,0,21.6,32.44,84
3/13/2013,72,2013,2013,DRY,3,13,8,3,Gulf Toadfish,Opsanus beta,0,0,21.6,32.06,71
3/13/2013,72,2013,2013,DRY,3,13,9,3,Gulf Toadfish,Opsanus beta,0,0,21.8,32.02,86
3/14/2013,73,2013,2013,DRY,3,14,1,3,Gulf Toadfish,Opsanus beta,0,0,21.9,32.34,83
3/14/2013,73,2013,2013,DRY,3,14,2,3,Gulf Toadfish,Opsanus beta,0,0,20.3,31.98,103
3/14/2013,73,2013,2013,DRY,3,14,3,3,Gulf Toadfish,Opsanus beta,0,0,21,32.86,110
3/14/2013,73,2013,2013,DRY,3,14,4,3,Gulf Toadfish,Opsanus beta,0,0,20.5,32.99,103
3/14/2013,73,2013,2013,DRY,3,14,5,3,Gulf Toadfish,Opsanus beta,0,0,20.4,32.32,83
3/14/2013,73,2013,2013,DRY,3,14,6,3,Gulf Toadfish,Opsanus beta,0,0,21.6,32.16,66
9/3/2013,246,2013,2014,WET,9,3,39,3,Gulf Toadfish,Opsanus beta,0,0,29.8,19.89,85
9/3/2013,246,2013,2014,WET,9,3,40,3,Gulf Toadfish,Opsanus beta,1,1,28.6,22.83,94
9/3/2013,246,2013,2014,WET,9,3,41,3,Gulf Toadfish,Opsanus beta,0,0,28.6,22.27,75
9/3/2013,246,2013,2014,WET,9,3,42,3,Gulf Toadfish,Opsanus beta,0,0,29.3,18.26,66
9/3/2013,246,2013,2014,WET,9,3,43,3,Gulf Toadfish,Opsanus beta,1,1,29.5,18.36,66
9/3/2013,246,2013,2014,WET,9,3,44,3,Gulf Toadfish,Opsanus beta,1,2,28.9,19.06,42
9/3/2013,246,2013,2014,WET,9,3,45,3,Gulf Toadfish,Opsanus beta,1,1,28.7,21.34,61
9/3/2013,246,2013,2014,WET,9,3,46,3,Gulf Toadfish,Opsanus beta,0,0,29.5,20.31,38
9/3/2013,246,2013,2014,WET,9,3,47,3,Gulf Toadfish,Opsanus beta,1,1,30.7,24.88,71
9/4/2013,247,2013,2014,WET,9,4,27,3,Gulf Toadfish,Opsanus beta,0,0,30.8,13.42,47
9/4/2013,247,2013,2014,WET,9,4,30,3,Gulf Toadfish,Opsanus beta,0,0,29.6,14.93,55
9/4/2013,247,2013,2014,WET,9,4,31,3,Gulf Toadfish,Opsanus beta,0,0,29.3,12.91,75
9/4/2013,247,2013,2014,WET,9,4,32,3,Gulf Toadfish,Opsanus beta,0,0,29.8,12.72,82
9/4/2013,247,2013,2014,WET,9,4,33,3,Gulf Toadfish,Opsanus beta,0,0,28.5,12.11,79
9/4/2013,247,2013,2014,WET,9,4,34,3,Gulf Toadfish,Opsanus beta,0,0,28.9,13.19,87
9/4/2013,247,2013,2014,WET,9,4,35,3,Gulf Toadfish,Opsanus beta,0,0,28.5,10.79,100
9/4/2013,247,2013,2014,WET,9,4,38,3,Gulf Toadfish,Opsanus beta,0,0,27.7,6.01,82
9/5/2013,248,2013,2014,WET,9,5,15,3,Gulf Toadfish,Opsanus beta,0,0,30.2,20.16,39
9/5/2013,248,2013,2014,WET,9,5,16,3,Gulf Toadfish,Opsanus beta,0,0,30.5,17.77,68
9/5/2013,248,2013,2014,WET,9,5,17,3,Gulf Toadfish,Opsanus beta,0,0,30.6,16.87,91
9/5/2013,248,2013,2014,WET,9,5,18,3,Gulf Toadfish,Opsanus beta,1,1,29.5,4.63,76
9/5/2013,248,2013,2014,WET,9,5,19,3,Gulf Toadfish,Opsanus beta,0,0,29,6.25,76
9/5/2013,248,2013,2014,WET,9,5,20,3,Gulf Toadfish,Opsanus beta,1,1,29.2,2.68,94
9/5/2013,248,2013,2014,WET,9,5,21,3,Gulf Toadfish,Opsanus beta,1,2,29.1,3.71,93
9/5/2013,248,2013,2014,WET,9,5,22,3,Gulf Toadfish,Opsanus beta,0,0,28.9,3.87,93
9/5/2013,248,2013,2014,WET,9,5,23,3,Gulf Toadfish,Opsanus beta,0,0,28.7,3.94,92
9/5/2013,248,2013,2014,WET,9,5,24,3,Gulf Toadfish,Opsanus beta,0,0,28.6,4.88,93
9/5/2013,248,2013,2014,WET,9,5,25,3,Gulf Toadfish,Opsanus beta,0,0,28.3,6.99,91
9/5/2013,248,2013,2014,WET,9,5,26,3,Gulf Toadfish,Opsanus beta,0,0,28.4,7.87,69
9/5/2013,248,2013,2014,WET,9,5,28,3,Gulf Toadfish,Opsanus beta,1,1,28.5,11.94,83
9/5/2013,248,2013,2014,WET,9,5,29,3,Gulf Toadfish,Opsanus beta,0,0,28.1,12.57,83
9/6/2013,249,2013,2014,WET,9,6,10,3,Gulf Toadfish,Opsanus beta,0,0,30,22.1,90
9/6/2013,249,2013,2014,WET,9,6,11,3,Gulf Toadfish,Opsanus beta,0,0,30,21.86,85
9/6/2013,249,2013,2014,WET,9,6,12,3,Gulf Toadfish,Opsanus beta,0,0,29.1,21.52,100
9/6/2013,249,2013,2014,WET,9,6,13,3,Gulf Toadfish,Opsanus beta,0,0,29,21.4,87
9/6/2013,249,2013,2014,WET,9,6,14,3,Gulf Toadfish,Opsanus beta,0,0,28.8,21.09,93
9/6/2013,249,2013,2014,WET,9,6,7,3,Gulf Toadfish,Opsanus beta,1,1,31.3,22.96,63
9/6/2013,249,2013,2014,WET,9,6,8,3,Gulf Toadfish,Opsanus beta,0,0,31,22.72,56
9/6/2013,249,2013,2014,WET,9,6,9,3,Gulf Toadfish,Opsanus beta,0,0,30.6,22.26,65
9/8/2013,251,2013,2014,WET,9,8,1,3,Gulf Toadfish,Opsanus beta,1,2,29.8,25.25,110
9/8/2013,251,2013,2014,WET,9,8,2,3,Gulf Toadfish,Opsanus beta,0,0,29.5,24.79,115
9/8/2013,251,2013,2014,WET,9,8,3,3,Gulf Toadfish,Opsanus beta,0,0,30.1,25.65,104
9/8/2013,251,2013,2014,WET,9,8,4,3,Gulf Toadfish,Opsanus beta,0,0,29.7,25.57,78
9/8/2013,251,2013,2014,WET,9,8,5,3,Gulf Toadfish,Opsanus beta,0,0,29.6,24.56,85
9/8/2013,251,2013,2014,WET,9,8,6,3,Gulf Toadfish,Opsanus beta,1,1,28,22,60
3/14/2014,73,2014,2014,DRY,3,14,40,3,Gulf Toadfish,Opsanus beta,0,0,22.1,27.77,NA
3/14/2014,73,2014,2014,DRY,3,14,41,3,Gulf Toadfish,Opsanus beta,0,0,21.5,28.05,NA
3/14/2014,73,2014,2014,DRY,3,14,42,3,Gulf Toadfish,Opsanus beta,0,0,21.8,26.9,NA
3/14/2014,73,2014,2014,DRY,3,14,43,3,Gulf Toadfish,Opsanus beta,0,0,20.8,28.6,NA
3/14/2014,73,2014,2014,DRY,3,14,44,3,Gulf Toadfish,Opsanus beta,0,0,21.4,27.49,NA
3/14/2014,73,2014,2014,DRY,3,14,45,3,Gulf Toadfish,Opsanus beta,0,0,19.9,30.64,NA
3/14/2014,73,2014,2014,DRY,3,14,46,3,Gulf Toadfish,Opsanus beta,0,0,20.5,30.08,NA
3/14/2014,73,2014,2014,DRY,3,14,47,3,Gulf Toadfish,Opsanus beta,0,0,20.9,28.55,NA
3/15/2014,74,2014,2014,DRY,3,15,27,3,Gulf Toadfish,Opsanus beta,1,7,24.6,21.57,46
3/15/2014,74,2014,2014,DRY,3,15,28,3,Gulf Toadfish,Opsanus beta,0,0,24.8,21.56,70
3/15/2014,74,2014,2014,DRY,3,15,29,3,Gulf Toadfish,Opsanus beta,1,2,24.6,22.16,59
3/15/2014,74,2014,2014,DRY,3,15,30,3,Gulf Toadfish,Opsanus beta,0,0,23.6,23.37,45
3/15/2014,74,2014,2014,DRY,3,15,31,3,Gulf Toadfish,Opsanus beta,1,1,22.7,21.81,60
3/15/2014,74,2014,2014,DRY,3,15,32,3,Gulf Toadfish,Opsanus beta,0,0,22.3,20.69,79
3/15/2014,74,2014,2014,DRY,3,15,33,3,Gulf Toadfish,Opsanus beta,1,1,22.4,18.5,75
3/15/2014,74,2014,2014,DRY,3,15,34,3,Gulf Toadfish,Opsanus beta,0,0,21.5,18.21,75
3/15/2014,74,2014,2014,DRY,3,15,35,3,Gulf Toadfish,Opsanus beta,0,0,22.3,17.48,79
3/15/2014,74,2014,2014,DRY,3,15,38,3,Gulf Toadfish,Opsanus beta,0,0,21.6,13.21,86
3/15/2014,74,2014,2014,DRY,3,15,39,3,Gulf Toadfish,Opsanus beta,0,0,22.2,19.09,81
3/16/2014,75,2014,2014,DRY,3,16,17,3,Gulf Toadfish,Opsanus beta,0,0,22.9,23.94,99
3/16/2014,75,2014,2014,DRY,3,16,18,3,Gulf Toadfish,Opsanus beta,1,2,22.9,21.29,79
3/16/2014,75,2014,2014,DRY,3,16,19,3,Gulf Toadfish,Opsanus beta,0,0,23,15.4,72
3/16/2014,75,2014,2014,DRY,3,16,20,3,Gulf Toadfish,Opsanus beta,0,0,24.5,12.57,48
3/16/2014,75,2014,2014,DRY,3,16,21,3,Gulf Toadfish,Opsanus beta,0,0,24.2,12.68,64
3/16/2014,75,2014,2014,DRY,3,16,22,3,Gulf Toadfish,Opsanus beta,0,0,24,13.57,66
3/16/2014,75,2014,2014,DRY,3,16,23,3,Gulf Toadfish,Opsanus beta,0,0,24.6,14.42,50
3/16/2014,75,2014,2014,DRY,3,16,24,3,Gulf Toadfish,Opsanus beta,0,0,24.4,16.62,50
3/16/2014,75,2014,2014,DRY,3,16,25,3,Gulf Toadfish,Opsanus beta,0,0,25.9,17.45,48
3/16/2014,75,2014,2014,DRY,3,16,26,3,Gulf Toadfish,Opsanus beta,0,0,25.3,21.5,65
3/31/2014,90,2014,2014,DRY,3,31,10,3,Gulf Toadfish,Opsanus beta,0,0,22,29.62,52
3/31/2014,90,2014,2014,DRY,3,31,11,3,Gulf Toadfish,Opsanus beta,0,0,22.6,29.5,65
3/31/2014,90,2014,2014,DRY,3,31,12,3,Gulf Toadfish,Opsanus beta,0,0,22.5,28.69,88
3/31/2014,90,2014,2014,DRY,3,31,13,3,Gulf Toadfish,Opsanus beta,0,0,22.5,28.31,74
3/31/2014,90,2014,2014,DRY,3,31,14,3,Gulf Toadfish,Opsanus beta,0,0,22.3,26.13,69
3/31/2014,90,2014,2014,DRY,3,31,15,3,Gulf Toadfish,Opsanus beta,1,1,21.9,24.44,68
3/31/2014,90,2014,2014,DRY,3,31,16,3,Gulf Toadfish,Opsanus beta,0,0,22.4,24.33,51
3/31/2014,90,2014,2014,DRY,3,31,9,3,Gulf Toadfish,Opsanus beta,1,1,23.4,29.94,39
4/1/2014,91,2014,2014,DRY,4,1,2,3,Gulf Toadfish,Opsanus beta,0,0,24.4,27.39,82
4/1/2014,91,2014,2014,DRY,4,1,3,3,Gulf Toadfish,Opsanus beta,1,1,24.7,29.33,77
4/1/2014,91,2014,2014,DRY,4,1,4,3,Gulf Toadfish,Opsanus beta,0,0,24.2,29.61,64
4/1/2014,91,2014,2014,DRY,4,1,5,3,Gulf Toadfish,Opsanus beta,0,0,23.7,26.62,88
4/1/2014,91,2014,2014,DRY,4,1,6,3,Gulf Toadfish,Opsanus beta,0,0,23.2,22.71,88
4/1/2014,91,2014,2014,DRY,4,1,7,3,Gulf Toadfish,Opsanus beta,0,0,22.4,29.19,80
4/1/2014,91,2014,2014,DRY,4,1,8,3,Gulf Toadfish,Opsanus beta,0,0,21.7,30.29,63
8/25/2014,237,2014,2015,WET,8,25,39,3,Gulf Toadfish,Opsanus beta,0,0,31.8,32.99,100
8/25/2014,237,2014,2015,WET,8,25,40,3,Gulf Toadfish,Opsanus beta,0,0,32,37.1,96
8/25/2014,237,2014,2015,WET,8,25,41,3,Gulf Toadfish,Opsanus beta,0,0,31.3,36.13,100
8/25/2014,237,2014,2015,WET,8,25,42,3,Gulf Toadfish,Opsanus beta,0,0,31.8,37.45,141
8/25/2014,237,2014,2015,WET,8,25,43,3,Gulf Toadfish,Opsanus beta,0,0,31.3,38.67,87
8/25/2014,237,2014,2015,WET,8,25,44,3,Gulf Toadfish,Opsanus beta,0,0,31.1,38.17,82
8/25/2014,237,2014,2015,WET,8,25,45,3,Gulf Toadfish,Opsanus beta,0,0,30.4,36.8,91
8/25/2014,237,2014,2015,WET,8,25,46,3,Gulf Toadfish,Opsanus beta,0,0,30.1,36.78,89
8/25/2014,237,2014,2015,WET,8,25,47,3,Gulf Toadfish,Opsanus beta,0,0,30.3,39.71,104
8/26/2014,238,2014,2015,WET,8,26,27,3,Gulf Toadfish,Opsanus beta,0,0,30.1,26.77,91
8/26/2014,238,2014,2015,WET,8,26,28,3,Gulf Toadfish,Opsanus beta,0,0,29.7,27.11,124
8/26/2014,238,2014,2015,WET,8,26,29,3,Gulf Toadfish,Opsanus beta,0,0,29.8,26.63,122
8/26/2014,238,2014,2015,WET,8,26,30,3,Gulf Toadfish,Opsanus beta,0,0,29.5,28.77,112
8/26/2014,238,2014,2015,WET,8,26,31,3,Gulf Toadfish,Opsanus beta,0,0,29.2,29.11,126
8/26/2014,238,2014,2015,WET,8,26,32,3,Gulf Toadfish,Opsanus beta,0,0,29.6,29.85,142
