"Site","area_sampled","num","ave_tt","ave_hw","ave_sf","ave_rm","total_ave_sg","fSite"
37,3,0,0,6.7,0,0,6.7,"37"
39,3,0,9.3,9.3,0,0,18.6,"39"
40,3,0,3.2,3.2,0,0,6.4,"40"
41,3,0,16.8,16.8,0,0,33.6,"41"
42,3,0,0,0,0,0,0,"42"
43,3,0,0.6,0.6,0,0,1.2,"43"
44,3,0,18.52,18.52,0,0,37.04,"44"
45,3,0,0,0,0,0,0,"45"
46,3,0,5.5,5.5,0,0,11,"46"
47,3,0,0,0,0,0,0,"47"
26,3,0,0,5.1,0,0,5.1,"26"
27,3,0,6.2,21,0,0,27.2,"27"
28,3,0,0,23.5,0,0,23.5,"28"
29,3,0,0,28,0,0,28,"29"
30,3,4,0.5,32.5,0,0,33,"30"
31,3,0,0,7,0,0,7,"31"
32,3,0,0,26,0,0,26,"32"
33,3,0,0,43,0,0,43,"33"
34,3,0,0.6,13.5,0,0,14.1,"34"
35,3,0,0,7,0,0,7,"35"
36,3,0,0,22,0,0,22,"36"
15,3,0,7.2,38.4,0,0,45.6,"15"
16,3,0,1.2,24.9,0,0,26.1,"16"
17,3,0,10,11.9,0,0,21.9,"17"
18,3,0,0,45.5,0,0,45.5,"18"
19,3,0,0,36.5,0,0,36.5,"19"
20,3,0,0,26.5,0,0,26.5,"20"
21,3,0,0,29.5,0,4.5,34,"21"
22,3,0,0,32.5,0,1.5,34,"22"
23,3,0,0,20.9,0,0.5,21.4,"23"
24,3,0,0,34.5,0,0,34.5,"24"
25,3,0,0,19.6,0,5.5,25.1,"25"
10,3,2,4.1,21,0,0,25.1,"10"
11,3,0,7,29,0,0,36,"11"
12,3,0,4.5,34.5,0,0,39,"12"
13,3,0,0.1,56,0,0,56.1,"13"
14,3,0,13,12,0,0,25,"14"
7,3,0,0,49.5,0,0,49.5,"7"
8,3,0,0.5,6,0,0,6.5,"8"
9,3,0,1,10,0,0,11,"9"
1,3,0,0,41,0,1.1,42.1,"1"
2,3,0,0.7,37.5,0,0,38.2,"2"
3,3,0,27.5,31.5,0,0,59,"3"
4,3,0,1,36.5,0,0,37.5,"4"
5,3,0,0.1,40,0,0,40.1,"5"
6,3,0,0,45,0,0,45,"6"
39,3,0,0.4,7.6,0,0,8,"39"
40,3,1,55,0.7,0,0,55.7,"40"
41,3,0,29.5,4.3,0,0,33.8,"41"
42,3,0,3.7,0,0,0,3.7,"42"
43,3,1,40.5,0.2,0,0,40.7,"43"
44,3,2,31,3.9,0,0,34.9,"44"
45,3,1,38,0.1,0,0,38.1,"45"
46,3,0,23,19.1,0,0,42.1,"46"
47,3,1,60.5,0,0,0,60.5,"47"
27,3,0,0.3,33.5,0,0,33.8,"27"
30,3,0,0.6,30.5,0,0,31.1,"30"
31,3,0,0,33,0,0,33,"31"
32,3,0,0,27,0,0,27,"32"
33,3,0,0,47,0,0,47,"33"
34,3,0,12.6,26,0,0,38.6,"34"
35,3,0,0,18.2,0,0,18.2,"35"
36,3,0,3.5,25,0,0,28.5,"36"
37,3,0,0,39.5,0,0,39.5,"37"
38,3,0,0,40.5,0,0,40.5,"38"
15,3,0,30.5,0,0,0,30.5,"15"
16,3,0,36,1.1,0,0,37.1,"16"
17,3,0,32,5,0,0,37,"17"
18,3,1,0,16.5,0,7.5,24,"18"
19,3,0,0,17.5,0,7.1,24.6,"19"
20,3,1,0,20,0,0,20,"20"
21,3,2,0,13,0,12.1,25.1,"21"
22,3,0,0,24.5,0,14,38.5,"22"
23,3,0,0,25,0,2.5,27.5,"23"
24,3,0,0,35.5,0,0,35.5,"24"
25,3,0,0,26.5,0,0,26.5,"25"
26,3,0,0,39,0,0,39,"26"
28,3,1,0,21.2,0,0.5,21.7,"28"
29,3,0,2.51,21.5,0,0.5,24.51,"29"
10,3,0,12,3,0,0,15,"10"
11,3,0,23.5,20.1,0,0,43.6,"11"
12,3,0,8.7,15.5,0,0,24.2,"12"
13,3,0,39,18.5,0,0,57.5,"13"
14,3,0,31.5,9.8,0,0,41.3,"14"
7,3,1,6.5,17.2,0,0,23.7,"7"
8,3,0,0.5,11.3,0,0,11.8,"8"
9,3,0,17,0,0,0,17,"9"
1,3,2,0,40,0,0,40,"1"
2,3,0,3.6,40.5,0,0,44.1,"2"
3,3,0,26.7,25.1,0,0,51.8,"3"
4,3,0,0,55,0,0,55,"4"
