"CYR_Keyfield","Date","CYR","Season","Month","JDay","Time","Site","area_sampled","num","den","temp","DO","pH","sal","prop_sg","ave_tt","ave_hw","sed_depth","water_depth","bottom_canopy","fCYR","fSeason","fSite","DateTime","Time2","DoY","ToD"
"C-2008-1-10-10","2008-01-10",2008,"DRY",1,1075,"1899-12-31 12:04:00",10,3,0,0,23.29,6.18,8.24,30.7,0.0294392523364486,2.32,0.2,23,80,NA,"2008","DRY","10",1899-12-31 12:04:00,"12:04",365,12.0666666666667
"C-2008-1-10-11","2008-01-10",2008,"DRY",1,1075,"1899-12-31 12:13:00",11,3,0,0,23.74,7.56,8.29,30.85,0.433085501858736,1.8,21.5,48,72,NA,"2008","DRY","11",1899-12-31 12:13:00,"12:13",365,12.2166666666667
"C-2008-1-10-12","2008-01-10",2008,"DRY",1,1075,"1899-12-31 11:23:00",12,3,0,0,22.84,5.62,8.07,30.17,0.0220588235294118,0.6,1.2,12,98,NA,"2008","DRY","12",1899-12-31 11:23:00,"11:23",365,11.3833333333333
"C-2008-1-10-13","2008-01-10",2008,"DRY",1,1075,"1899-12-31 10:53:00",13,3,0,0,22.55,5.85,8.2,30.04,0.272980501392758,16.6,3,32,95,NA,"2008","DRY","13",1899-12-31 10:53:00,"10:53",365,10.8833333333333
"C-2008-1-10-14","2008-01-10",2008,"DRY",1,1075,"1899-12-31 10:21:00",14,3,0,0,22.69,6.49,8.26,29.77,0.032888986013986,2.51,0.5,43,97,NA,"2008","DRY","14",1899-12-31 10:21:00,"10:21",365,10.35
"C-2008-1-10-15","2008-01-10",2008,"DRY",1,1075,"1899-12-31 09:51:00",15,3,1,0.333333333333333,22.19,6.29,8.26,28.15,0.173978819969743,11.5,0,45,85,NA,"2008","DRY","15",1899-12-31 09:51:00,"09:51",365,9.85
"C-2008-1-10-16","2008-01-10",2008,"DRY",1,1075,"1899-12-31 09:25:00",16,3,0,0,22.03,5.21,8.26,20.29,0.320665445665446,21,0.01,49,78,NA,"2008","DRY","16",1899-12-31 09:25:00,"09:25",365,9.41666666666667
"C-2008-1-10-17","2008-01-10",2008,"DRY",1,1075,"1899-12-31 08:04:00",17,3,0,0,22.01,5.36,8.48,28.08,0.378228782287823,20.5,0,32,90,NA,"2008","DRY","17",1899-12-31 08:04:00,"08:04",365,8.06666666666667
"C-2008-1-10-9","2008-01-10",2008,"DRY",1,1075,"1899-12-31 13:07:00",9,3,0,0,24.23,6.66,8.25,30.83,0.379541864139021,6.61,3,23,58,NA,"2008","DRY","9",1899-12-31 13:07:00,"13:07",365,13.1166666666667
"C-2008-1-13-1","2008-01-13",2008,"DRY",1,1078,"1899-12-31 13:31:00",1,3,0,0,25.22,5.9,8.19,30.46,0.485027414592999,0,12.7777777777778,90,74,NA,"2008","DRY","1",1899-12-31 13:31:00,"13:31",365,13.5166666666667
"C-2008-1-13-2","2008-01-13",2008,"DRY",1,1078,"1899-12-31 12:59:00",2,3,0,0,24.8,7.24,8.29,30.33,0.5,0.1,24.5,47,80,NA,"2008","DRY","2",1899-12-31 12:59:00,"12:59",365,12.9833333333333
"C-2008-1-13-3","2008-01-13",2008,"DRY",1,1078,"1899-12-31 12:26:00",3,3,0,0,24.3,7.4,8.26,31.48,0.479245283018868,8.5,4.2,68,71,NA,"2008","DRY","3",1899-12-31 12:26:00,"12:26",365,12.4333333333333
"C-2008-1-13-4","2008-01-13",2008,"DRY",1,1078,"1899-12-31 11:49:00",4,3,0,0,23.87,5.8,8.23,30.9,0.0264182717608673,2,0.51,1,52,NA,"2008","DRY","4",1899-12-31 11:49:00,"11:49",365,11.8166666666667
"C-2008-1-13-5","2008-01-13",2008,"DRY",1,1078,"1899-12-31 11:21:00",5,3,1,0.333333333333333,24.41,5.76,8.24,29.18,0.471380471380471,0,28,33,63,NA,"2008","DRY","5",1899-12-31 11:21:00,"11:21",365,11.35
"C-2008-1-13-6","2008-01-13",2008,"DRY",1,1078,"1899-12-31 10:55:00",6,3,0,0,24.25,5.52,8.18,30.34,0.410329985652798,5.5,23.1,22,78,NA,"2008","DRY","6",1899-12-31 10:55:00,"10:55",365,10.9166666666667
"C-2008-1-13-7","2008-01-13",2008,"DRY",1,1078,"1899-12-31 10:23:00",7,3,0,0,23.55,5.59,8.07,31.35,0.481649395509499,11.61,10.7,52,41,NA,"2008","DRY","7",1899-12-31 10:23:00,"10:23",365,10.3833333333333
